,id,FN,SN,LN,Captured,Sex,Length,Diam,Height,Whole,Shucke,Viscera,Shell,Rings
0,835,Kid,College,Machine,20200621T000000,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8.0
1,540,Jalapeno,Glam,Machine,20200308T000000,F,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15.0
2,2295,Baby,Full,Killer,20200222T000000,F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10.0
3,858,Kid,Rock,Head,20200222T000000,F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10.0
4,2329,Boy,Block,Death,20201219T000000,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15.0
5,2648,DJ,Block,Head,20201224T000000,M,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,9.0
6,3723,Big,Full,Death,20200110T000000,I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9.0
7,251,Dungeon,Glam,Death,20200824T000000,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13.0
8,1148,MC,College,Machine,20200623T000000,M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8.0
9,1949,Monster,Full,Kitty,20200202T000000,M,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11.0
10,4153,Boss,Glock,Killer,20200505T000000,I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8.0
11,3203,Monster,Glam,Death,20200206T000000,F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17.0
12,3744,DJ,Block,Killer,20200321T000000,I,0.275,0.205,0.065,0.10099999999999999,0.040999999999999995,0.021,0.034,5.0
13,1173,Lil',Breeze,Head,20200106T000000,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10.0
14,4900,Dungeon,Flow,Head,20200805T000000,I,0.493391390206017,0.38268414519554383,,0.607481836034887,,0.1710300546356238,,
15,1154,Boy,Rock,Man,20201218T000000,M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8.0
16,1540,MC,Flow,Machine,20200517T000000,I,0.36,0.27,0.095,0.2,0.073,0.055999999999999994,0.061,8.0
17,4741,Dungeon,Block,Kitty,20201112T000000,M,0.5273268577587404,0.576630346958827,,0.8795374549325062,,0.22049017256658332,,
18,1751,Monster,Rock,Man,20200607T000000,F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10.0
19,5201,Lil',Glam,Head,20201223T000000,F,0.6740684293709649,,,0.9790900275777944,0.4139055484109997,0.3972430385275211,0.3310868380990492,
20,3846,Boy,Breeze,Master,20200416T000000,I,0.37,0.275,0.085,0.2045,0.096,0.055999999999999994,0.08,6.0
